feature,feature_label,pearson,spearman,ridge_coef,ridge_coef_abs,ridge_alpha,permutation_importance,permutation_importance_std,sample_views
ball_speed_mph,Ball speed,0.7579103025997319,0.7760228598428235,39.960205590868576,39.960205590868576,5.623413251903491,38.7003574433971,2.0285061419100794,S3_imputed;S3_spin_components
launch_angle_deg,Launch angle,0.08592634386193315,0.02540490836673104,20.480483338504563,20.480483338504563,5.623413251903491,19.635185728682877,1.840374770208716,S3_imputed;S3_spin_components
launch_direction_deg,Launch direction,0.015630702699373066,0.06153264720604744,2.2422898907668163,2.2422898907668163,5.623413251903491,0.18258818854027792,0.06797764102562148,S3_imputed;S3_spin_components
spin_rate_rpm,Spin rate,0.008780433880802786,0.05324590835155523,0.4863695301444739,0.4863695301444739,5.623413251903491,1.9036583765745467,0.29489766657407857,S3_imputed
spin_axis_deg,Spin axis,0.1192054505464074,0.11824769345367961,3.4413381245221437,3.4413381245221437,5.623413251903491,2.4775484683198106,0.5917036966591583,S3_imputed
backspin_rpm,Backspin,0.058028371899715034,0.0933009427301169,2.267260176666259,2.267260176666259,5.623413251903491,4.431517412791635,0.6232166270450153,S3_spin_components
sidespin_rpm,Sidespin,-0.10039827598110758,-0.14097576645606774,-1.6366455934458948,1.6366455934458948,5.623413251903491,0.6065466210019034,0.09881659708378535,S3_spin_components
club_speed_mph,Club speed,0.4693474310528045,0.5828692365109471,-2.47505202733398,2.47505202733398,5.623413251903491,0.2886335982291654,0.2191869313287265,S3_imputed;S3_spin_components
attack_angle_deg,Attack angle,0.15645387486562728,0.206765256696618,-2.451266061592792,2.451266061592792,5.623413251903491,0.08574990640606184,0.07789661921227553,S3_imputed;S3_spin_components
