feature,output,method,estimate,ci_low,ci_high,iterations
club_speed_mph,total_distance_yd,pearson,0.571419305988,0.468457822935,0.70140154501,500
club_speed_mph,total_distance_yd,spearman,0.714451847915,0.67377928268,0.751128779977,500
club_speed_mph,lateral_offset_yd,pearson,0.0279266382598,-0.0501934798326,0.121125289157,500
club_speed_mph,lateral_offset_yd,spearman,0.0396474615976,-0.0349498168935,0.123044207727,500
attack_angle_deg,carry_distance_yd,pearson,0.156453874866,0.0803089602436,0.231638962784,500
attack_angle_deg,carry_distance_yd,spearman,0.206765256697,0.136544380337,0.279728230906,500
attack_angle_deg,max_height_yd,pearson,0.104906345286,0.0287944008481,0.16388267037,500
attack_angle_deg,max_height_yd,spearman,0.0545880314069,-0.0193289523122,0.120866455367,500
attack_angle_deg,total_distance_yd,pearson,0.242097811149,0.164288534144,0.325732196698,500
attack_angle_deg,total_distance_yd,spearman,0.326959861055,0.257869555271,0.392370929545,500
attack_angle_deg,lateral_offset_yd,pearson,0.0672915979055,-0.00286844786525,0.13950916719,500
attack_angle_deg,lateral_offset_yd,spearman,0.0554205476866,-0.0178861631981,0.134114143866,500
