feature,feature_label,output,output_label,correlation,abs_correlation,n,method
spin_axis_deg,Spin axis,lateral_offset_yd,Lateral offset,0.784626817055,0.784626817055,735,spearman
backspin_rpm,Backspin,carry_distance_yd,Carry distance,0.0933009427301,0.0933009427301,735,spearman
backspin_rpm,Backspin,max_height_yd,Max height,0.553752386059,0.553752386059,735,spearman
backspin_rpm,Backspin,total_distance_yd,Total distance,-0.302050248114,0.302050248114,735,spearman
backspin_rpm,Backspin,lateral_offset_yd,Lateral offset,0.191420166513,0.191420166513,735,spearman
sidespin_rpm,Sidespin,carry_distance_yd,Carry distance,-0.140975766456,0.140975766456,735,spearman
sidespin_rpm,Sidespin,max_height_yd,Max height,-0.135699589554,0.135699589554,735,spearman
sidespin_rpm,Sidespin,total_distance_yd,Total distance,-0.00793539434771,0.00793539434771,735,spearman
sidespin_rpm,Sidespin,lateral_offset_yd,Lateral offset,-0.815005113564,0.815005113564,735,spearman
club_speed_mph,Club speed,carry_distance_yd,Carry distance,0.589009934919,0.589009934919,669,spearman
club_speed_mph,Club speed,max_height_yd,Max height,0.0814085533432,0.0814085533432,669,spearman
club_speed_mph,Club speed,total_distance_yd,Total distance,0.720688016264,0.720688016264,669,spearman
club_speed_mph,Club speed,lateral_offset_yd,Lateral offset,0.0473813800264,0.0473813800264,669,spearman
attack_angle_deg,Attack angle,carry_distance_yd,Carry distance,0.20633818305,0.20633818305,667,spearman
attack_angle_deg,Attack angle,max_height_yd,Max height,0.0569096931624,0.0569096931624,667,spearman
attack_angle_deg,Attack angle,total_distance_yd,Total distance,0.327402093282,0.327402093282,667,spearman
attack_angle_deg,Attack angle,lateral_offset_yd,Lateral offset,0.0507906567291,0.0507906567291,667,spearman
