model,carry_definition,start_label,coarse_grid_rank,initial_cd,final_cd,objective,initial_objective,final_objective,objective_improvement,optimizer_success,objective_finite,accepted,success,termination_message,message,iterations,function_evaluations,calibration_n,calibration_failed_count,failed_count,initial_failed_count,boundary_margin,selected,full_train_objective,full_train_failed_count
drag,forward_x,grid_rank_1,1,0.05,0.05,1.48896567722,1.48896567722,1.48896567722,0,True,True,True,True,Optimization terminated successfully.; retained initial point because local result did not improve objective,Optimization terminated successfully.; retained initial point because local result did not improve objective,1,20,36,0,0,0,0,True,1.87671700504,0
drag,forward_x,grid_rank_2,2,0.111111111111,0.050000002037,1.48896568686,1.82606603239,1.48896568686,0.337100345521,False,True,False,False,Maximum number of function evaluations has been exceeded.,Maximum number of function evaluations has been exceeded.,2,120,36,0,0,0,2.03700505075e-09,False,,
drag,forward_x,grid_rank_3,3,0.172222222222,0.0500000020784,1.48896568706,2.20915001507,1.48896568706,0.720184328011,False,True,False,False,Maximum number of function evaluations has been exceeded.,Maximum number of function evaluations has been exceeded.,2,120,36,0,0,0,2.07836785282e-09,False,,
drag,forward_x,midpoint,0,0.325,0.0500000023714,1.48896568845,3.17064757899,1.48896568845,1.68168189054,False,True,False,False,Maximum number of function evaluations has been exceeded.,Maximum number of function evaluations has been exceeded.,2,120,36,0,0,0,2.37141221243e-09,False,,
