model,carry_rmse,carry_mape,apex_rmse,apex_mape,lateral_mae,flight_failure_rate
constant_lift,7.15748878326,4.41169830841,2.17283579741,13.4794639809,5.70422847266,0
drag,36.8296152902,21.4483197378,7.59140024962,43.8903847474,15.0522213853,0
spin_factor_lift,30.5300114374,17.6739409552,6.40966307883,38.0106829493,13.4464312835,0
vacuum,32.5024345966,18.5572938062,7.1959119564,41.8683370248,14.6652064033,0
