model,sensitivity_type,parameter,relative_change,metric,carry_definition,baseline_value,scenario_value,delta,wind_x_mps
constant_lift,solver_tolerance,atol_x10,,carry_yd,forward_x,145.049248079,145.049248079,-5.68434188608e-14,
constant_lift,solver_tolerance,atol_x10,,apex_yd,,16.1685687557,16.1685863858,1.76300771386e-05,
constant_lift,solver_tolerance,atol_x10,,lateral_yd,,25.4710486898,25.4710486898,-5.68434188608e-14,
constant_lift,solver_tolerance,atol_x10,,flight_time_s,,4.33084851348,4.33084851348,0,
constant_lift,solver_tolerance,max_step_x2,,carry_yd,forward_x,145.049248079,145.049248079,-5.68434188608e-14,
constant_lift,solver_tolerance,max_step_x2,,apex_yd,,16.1685687557,16.1681826254,-0.00038613032978,
constant_lift,solver_tolerance,max_step_x2,,lateral_yd,,25.4710486898,25.4710486898,-4.97379915032e-14,
constant_lift,solver_tolerance,max_step_x2,,flight_time_s,,4.33084851348,4.33084851348,-8.881784197e-16,
constant_lift,solver_tolerance,method_RK45,,carry_yd,forward_x,145.049248079,145.049248079,3.41060513165e-13,
constant_lift,solver_tolerance,method_RK45,,apex_yd,,16.1685687557,16.1685687557,3.90798504668e-13,
constant_lift,solver_tolerance,method_RK45,,lateral_yd,,25.4710486898,25.4710486898,1.59872115546e-13,
constant_lift,solver_tolerance,method_RK45,,flight_time_s,,4.33084851348,4.33084851348,1.86517468137e-14,
constant_lift,initial_height,initial_height_0.001m,,carry_yd,forward_x,145.049248079,145.031705634,-0.0175424445031,
constant_lift,initial_height,initial_height_0.001m,,apex_yd,,16.1685687557,16.1587345292,-0.00983422654375,
constant_lift,initial_height,initial_height_0.001m,,lateral_yd,,25.4710486898,25.4684715013,-0.00257718851488,
constant_lift,initial_height,initial_height_0.001m,,flight_time_s,,4.33084851348,4.3301517242,-0.000696789282133,
constant_lift,initial_height,initial_height_0.01m,,carry_yd,forward_x,145.049248079,145.049248079,0,
constant_lift,initial_height,initial_height_0.01m,,apex_yd,,16.1685687557,16.1685687557,0,
constant_lift,initial_height,initial_height_0.01m,,lateral_yd,,25.4710486898,25.4710486898,0,
constant_lift,initial_height,initial_height_0.01m,,flight_time_s,,4.33084851348,4.33084851348,0,
constant_lift,initial_height,initial_height_0.05m,,carry_yd,forward_x,145.049248079,145.127134449,0.0778863704142,
constant_lift,initial_height,initial_height_0.05m,,apex_yd,,16.1685687557,16.2123033488,0.0437345930681,
constant_lift,initial_height,initial_height_0.05m,,lateral_yd,,25.4710486898,25.4824950903,0.0114464004567,
constant_lift,initial_height,initial_height_0.05m,,flight_time_s,,4.33084851348,4.33394262994,0.00309411645611,
spin_factor_lift,parameter,cd,-0.2,carry_yd,forward_x,131.305363061,133.647329077,2.34196601568,
spin_factor_lift,parameter,cd,-0.2,apex_yd,,9.48426522213,9.57189702158,0.0876317994511,
spin_factor_lift,parameter,cd,-0.2,lateral_yd,,16.2768515482,16.6475800919,0.370728543633,
spin_factor_lift,parameter,cd,-0.2,flight_time_s,,2.83123656487,2.84698389271,0.015747327842,
spin_factor_lift,parameter,cd,-0.1,carry_yd,forward_x,131.305363061,132.462320085,1.15695702352,
spin_factor_lift,parameter,cd,-0.1,apex_yd,,9.48426522213,9.52782589958,0.043560677448,
spin_factor_lift,parameter,cd,-0.1,lateral_yd,,16.2768515482,16.4595538777,0.182702329458,
spin_factor_lift,parameter,cd,-0.1,flight_time_s,,2.83123656487,2.83905649621,0.00781993133267,
spin_factor_lift,parameter,cd,0.1,carry_yd,forward_x,131.305363061,130.17531651,-1.13004655117,
spin_factor_lift,parameter,cd,0.1,apex_yd,,9.48426522213,9.44134273674,-0.0429224853936,
spin_factor_lift,parameter,cd,0.1,lateral_yd,,16.2768515482,16.099227658,-0.177623890191,
spin_factor_lift,parameter,cd,0.1,flight_time_s,,2.83123656487,2.82352112936,-0.00771543551587,
spin_factor_lift,parameter,cd,0.2,carry_yd,forward_x,131.305363061,129.071105892,-2.23425716972,
spin_factor_lift,parameter,cd,0.2,apex_yd,,9.48426522213,9.39906012327,-0.0852050988578,
spin_factor_lift,parameter,cd,0.2,lateral_yd,,16.2768515482,15.9264524077,-0.350399140552,
spin_factor_lift,parameter,cd,0.2,flight_time_s,,2.83123656487,2.81590734906,-0.0153292158127,
spin_factor_lift,parameter,lift_scale,-0.2,carry_yd,forward_x,131.305363061,127.724381237,-3.58098182422,
spin_factor_lift,parameter,lift_scale,-0.2,apex_yd,,9.48426522213,9.18787963406,-0.296385588065,
spin_factor_lift,parameter,lift_scale,-0.2,lateral_yd,,16.2768515482,15.6302241328,-0.646627415448,
spin_factor_lift,parameter,lift_scale,-0.2,flight_time_s,,2.83123656487,2.74558611654,-0.0856504483346,
spin_factor_lift,parameter,lift_scale,-0.1,carry_yd,forward_x,131.305363061,129.491922012,-1.81344104995,
spin_factor_lift,parameter,lift_scale,-0.1,apex_yd,,9.48426522213,9.33380056199,-0.15046466014,
spin_factor_lift,parameter,lift_scale,-0.1,lateral_yd,,16.2768515482,15.9472012906,-0.329650257632,
spin_factor_lift,parameter,lift_scale,-0.1,flight_time_s,,2.83123656487,2.78778384077,-0.0434527240999,
spin_factor_lift,parameter,lift_scale,0.1,carry_yd,forward_x,131.305363061,133.166246588,1.86088352663,
spin_factor_lift,parameter,lift_scale,0.1,apex_yd,,9.48426522213,9.63968814217,0.155422920039,
spin_factor_lift,parameter,lift_scale,0.1,lateral_yd,,16.2768515482,16.6198926334,0.343041085216,
spin_factor_lift,parameter,lift_scale,0.1,flight_time_s,,2.83123656487,2.87599649103,0.0447599261575,
