sample_id,target_group,model,time_s,x_m,y_m,z_m,x_yd,y_yd,z_yd
683,100yd,constant_lift,2.40569785614,67.0743161388,-6.67079408321,9.77354897633,73.3533641063,-7.29526911987,10.6884831325
683,100yd,constant_lift,2.42569785614,67.5493474416,-6.72470718535,9.67939777397,73.8728646562,-7.35422920533,10.5855181255
683,100yd,constant_lift,2.44569785614,68.0234893439,-6.77860881279,9.58244451609,74.3913925458,-7.4131767419,10.4794887534
683,100yd,constant_lift,2.46569785614,68.496749687,-6.8324992781,9.48269310295,74.9089563506,-7.47211207142,10.3703992814
683,100yd,constant_lift,2.48569785614,68.9691362353,-6.88637889321,9.38014749175,75.4255645618,-7.53103553501,10.2582540373
683,100yd,constant_lift,2.50569785614,69.4406566772,-6.94024796941,9.27481169671,75.9412255875,-7.5899474731,10.1430574111
683,100yd,constant_lift,2.52569785614,69.9113186267,-6.99410681739,9.16668978909,76.4559477545,-7.64884822549,10.0248138551
683,100yd,constant_lift,2.54569785614,70.381129625,-7.04795574726,9.0557858972,76.9697393099,-7.7077381313,9.90352788407
683,100yd,constant_lift,2.56569785614,70.8500971417,-7.1017950686,8.9421042064,77.4826084226,-7.76661752909,9.77920407524
683,100yd,constant_lift,2.58569785614,71.3182285762,-7.15562509043,8.82564895915,77.9945631849,-7.82548675682,9.65184706819
683,100yd,constant_lift,2.60569785614,71.7855312596,-7.20944612129,8.706424455,78.5056116137,-7.88434615189,9.52146156496
683,100yd,constant_lift,2.62569785614,72.2520124553,-7.26325846923,8.58443505053,79.0157616528,-7.94319605121,9.38805232998
683,100yd,constant_lift,2.64569785614,72.7176793609,-7.31706244184,8.45968515941,79.5250211734,-8.00203679117,9.25162419008
683,100yd,constant_lift,2.66569785614,73.1825391095,-7.3708583463,8.33217925231,80.0333979762,-8.06086870768,9.11218203446
683,100yd,constant_lift,2.68569785614,73.6465987707,-7.42464648937,8.20192185688,80.540899793,-8.11969213624,8.96973081461
683,100yd,constant_lift,2.70569785614,74.1098653523,-7.47842717744,8.06891755774,81.0475342873,-8.1785074119,8.82427554434
683,100yd,constant_lift,2.72569785614,74.5723458016,-7.53220071652,7.93317099638,81.5533090568,-8.23731486934,8.67582129963
683,100yd,constant_lift,2.74569785614,75.0340470061,-7.58596741232,7.79468687112,82.058231634,-8.29611484286,8.52437321864
683,100yd,constant_lift,2.76569785614,75.4949757956,-7.6397275702,7.65346993704,82.5623094878,-8.35490766644,8.36993650157
683,100yd,constant_lift,2.78569785614,75.9551389429,-7.69348149526,7.50952500589,83.065550025,-8.41369367373,8.21251641064
683,100yd,constant_lift,2.80569785614,76.4145431651,-7.74722949233,7.36285694599,83.5679605917,-8.47247319808,8.0521182699
683,100yd,constant_lift,2.82569785614,76.873195125,-7.80097186599,7.21347068218,84.0695484744,-8.5312465726,7.8887474652
683,100yd,constant_lift,2.84569785614,77.3311014321,-7.8547089206,7.06137119563,84.5703209012,-8.59001413014,7.72240944404
683,100yd,constant_lift,2.86569785614,77.7882686439,-7.90844096033,6.90656352379,85.0702850437,-8.64877620334,7.55310971543
683,100yd,constant_lift,2.88569785614,78.2447032672,-7.96216828916,6.74905276022,85.5694480175,-8.70753312463,7.38085384976
683,100yd,constant_lift,2.90569785614,78.7004117588,-8.01589121093,6.58884405449,86.0678168841,-8.76628522631,7.20564747867
683,100yd,constant_lift,2.92569785614,79.1554005271,-8.06961002933,6.42594261199,86.5653986517,-8.82503284048,7.02749629482
683,100yd,constant_lift,2.94569785614,79.609675933,-8.12332504793,6.26035369378,87.0622002766,-8.88377629914,6.84640605182
683,100yd,constant_lift,2.96569785614,80.0632442909,-8.17703657022,6.09208261646,87.5582286646,-8.94251593419,6.66238256394
683,100yd,constant_lift,2.98569785614,80.5161118701,-8.2307448996,5.92113475196,88.0534906716,-9.00125207743,6.475431706
683,100yd,constant_lift,3.00569785614,80.9682848955,-8.28445033943,5.74751552735,88.5479931053,-9.05998506062,6.28555941312
683,100yd,constant_lift,3.02569785614,81.4197695489,-8.338153193,5.57123042467,89.0417427262,-9.11871521544,6.09277168053
683,100yd,constant_lift,3.04569785614,81.8705719698,-8.39185376361,5.3922849807,89.5347462487,-9.17744287359,5.89707456332
683,100yd,constant_lift,3.06569785614,82.3206982568,-8.44555235454,5.21068478675,90.0270103421,-9.23616836673,5.69847417624
683,100yd,constant_lift,3.08569785614,82.770154468,-8.4992492691,5.02643548847,90.5185416317,-9.29489202657,5.49697669342
683,100yd,constant_lift,3.10569785614,83.2189466225,-8.5529448106,4.83954278554,91.0093467,-9.35361418482,5.29258834814
683,100yd,constant_lift,3.12569785614,83.6670807012,-8.60663928244,4.65001243152,91.4994320879,-9.41233517327,5.08531543255
683,100yd,constant_lift,3.14569785614,84.1145626475,-8.66033298804,4.45785023354,91.9888042951,-9.47105532375,4.87516429739
683,100yd,constant_lift,3.16569785614,84.5613983685,-8.71402623093,4.26306205204,92.4774697818,-9.52977496821,4.66214135174
683,100yd,constant_lift,3.18569785614,85.0075937359,-8.76771931472,4.06565380052,92.9654349693,-9.58849443867,4.44625306268
683,100yd,constant_lift,3.20569785614,85.4531545868,-8.82141254312,3.86563144526,93.452706241,-9.64721406728,4.22750595501
683,100yd,constant_lift,3.22569785614,85.8980867244,-8.87510621997,3.66300100503,93.9392899436,-9.70593418632,4.00590661093
683,100yd,constant_lift,3.24569785614,86.3423959191,-8.92880064925,3.45776855078,94.4251923875,-9.76465512823,3.78146166971
683,100yd,constant_lift,3.26569785614,86.7860879094,-8.98249613508,3.24994020535,94.9104198484,-9.82337722559,3.55417782737
683,100yd,constant_lift,3.28569785614,87.2291684023,-9.03619298173,3.03952214315,95.3949785677,-9.88210081117,3.32406183634
683,100yd,constant_lift,3.30569785614,87.6716430745,-9.08989149366,2.82652058985,95.8788747534,-9.94082621791,3.09112050509
683,100yd,constant_lift,3.32569785614,88.1135175731,-9.14359197549,2.61094182204,96.3621145813,-9.99955377897,2.85536069777
683,100yd,constant_lift,3.34569785614,88.5547975163,-9.19729473205,2.39279216688,96.8447041954,-10.0582838277,2.61678933386
683,100yd,constant_lift,3.36569785614,88.9954884939,-9.25100006836,2.1720780018,97.326649709,-10.1170166977,2.37541338779
683,100yd,constant_lift,3.38569785614,89.4355960686,-9.30470828967,1.94880575407,97.8079572053,-10.1757527227,2.13123988853
683,100yd,constant_lift,3.40569785614,89.8751257761,-9.35841970143,1.72298190053,98.2886327385,-10.2344922369,1.88427591922
683,100yd,constant_lift,3.42569785614,90.3140831264,-9.41213460934,1.49461296716,98.7686823342,-10.2932355745,1.63452861675
683,100yd,constant_lift,3.44569785614,90.7524736038,-9.46585331931,1.26370552869,99.2481119902,-10.3519830701,1.38200517136
683,100yd,constant_lift,3.46569785614,91.1903026682,-9.51957613753,1.0302662083,99.7269276774,-10.4107350585,1.12671282623
683,100yd,constant_lift,3.48569785614,91.6275757553,-9.57330337041,0.794301677136,100.20513534,-10.4694918749,0.868658877008
683,100yd,constant_lift,3.50569785614,92.0642982774,-9.62703532464,0.555818653968,100.682740898,-10.5282538546,0.607850671444
683,100yd,constant_lift,3.52569785614,92.5004756241,-9.68077230716,0.314823904774,101.159750245,-10.5870213333,0.344295608895
683,100yd,constant_lift,3.54569785614,92.9361131626,-9.73451462518,0.0713242423221,101.63616925,-10.645794647,0.0780011398973
683,100yd,constant_lift,3.55151755461,93.0627764945,-9.75015387576,-8.86790640919e-15,101.774689955,-10.6628979394,-9.69806037751e-15
713,150yd,constant_lift,0,0,0,0.01,0,0,0.0109361329834
713,150yd,constant_lift,0.000372790498555,0.0177606079291,0.00233196634183,0.0137585353744,0.0194232370178,0.00255026940271,0.0150465172511
713,150yd,constant_lift,0.00410069548411,0.195269499671,0.0256437851226,0.0513220317766,0.2135493216,0.0280443844298,0.0561264564486
713,150yd,constant_lift,0.0241006954841,1.14459059532,0.150467628739,0.252162632439,1.25173949619,0.164553399759,0.275768408179
713,150yd,constant_lift,0.0441006954841,2.08888669495,0.274884609854,0.451826828304,2.28443426832,0.300617464845,0.494123827979
713,150yd,constant_lift,0.0641006954841,3.02821112653,0.398897952115,0.650286418942,3.31169195815,0.436240105113,0.711161875484
713,150yd,constant_lift,0.0841006954841,3.96261656702,0.522510861913,0.847513801814,4.33357017391,0.571424827114,0.926852364189
713,150yd,constant_lift,0.104100695484,4.89215505143,0.645726528142,1.04348195886,5.35012582178,0.706175118266,1.14116574678
713,150yd,constant_lift,0.124100695484,5.81687798168,0.768548121986,1.2381644434,6.36141511557,0.840494446617,1.35407310083
713,150yd,constant_lift,0.144100695484,6.7368361353,0.890978796712,1.43153536745,7.36749358628,0.974386260622,1.56554611489
713,150yd,constant_lift,0.164100695484,7.65207967406,1.01302168748,1.62356938925,8.36841609149,1.10785398893,1.77555707486
713,150yd,constant_lift,0.184100695484,8.56265815238,1.13467991116,1.81424170119,9.36423682456,1.24090104021,1.98407885082
713,150yd,constant_lift,0.204100695484,9.46862052568,1.25595656619,2.00352801798,10.3550093238,1.37353080292,2.19108488406
713,150yd,constant_lift,0.224100695484,10.3700151585,1.37685473238,2.19140456523,11.3407864813,1.50574664522,2.39654917458
713,150yd,constant_lift,0.244100695484,11.2668898326,1.49737747083,2.37784806816,12.3216205519,1.63755191473,2.60044626876
713,150yd,constant_lift,0.264100695484,12.159291755,1.61752782374,2.56283574069,13.2975631616,1.76894993848,2.80275124748
