sample_id,target_group,model,time_s,x_m,y_m,z_m,x_yd,y_yd,z_yd
683,100yd,spin_factor_lift,0,0,0,0.01,0,0,0.0109361329834
683,100yd,spin_factor_lift,0.000517986918957,0.0176310260173,-0.00149913358561,0.0166287437713,0.0192815245158,-0.0016394724252,0.018185415323
683,100yd,spin_factor_lift,0.00569785610853,0.193915620774,-0.0164904830849,0.0827859523614,0.212068701634,-0.0180342115976,0.0905358184179
683,100yd,spin_factor_lift,0.0256978561085,0.874131641341,-0.0743739150862,0.336004184574,0.955961987468,-0.0813363025877,0.367458644547
683,100yd,spin_factor_lift,0.0456978561085,1.55365748704,-0.132258063441,0.585695235802,1.69910048889,-0.144639176991,0.640524098646
683,100yd,spin_factor_lift,0.0656978561085,2.23249779598,-0.190143220513,0.831861430153,2.44148927819,-0.207943154542,0.909734722389
683,100yd,spin_factor_lift,0.0856978561085,2.9106571866,-0.248029677689,1.07450507724,3.18313340617,-0.271248553903,1.1750930416
683,100yd,spin_factor_lift,0.105697856109,3.58814025774,-0.305917725376,1.31362847235,3.92403790217,-0.334555692669,1.43660156643
683,100yd,spin_factor_lift,0.125697856109,4.26495158866,-0.363807652999,1.54923389663,4.66420777413,-0.397864887357,1.69426279159
683,100yd,spin_factor_lift,0.145697856109,4.94109573911,-0.421699748999,1.78132361729,5.40364800865,-0.461176453411,1.94807919651
683,100yd,spin_factor_lift,0.165697856109,5.61657724931,-0.47959430083,2.00989988773,6.14236357099,-0.524490705195,2.19805324554
683,100yd,spin_factor_lift,0.185697856109,6.29140064008,-0.537491594961,2.23496494774,6.88035940516,-0.587807955994,2.44418738817
683,100yd,spin_factor_lift,0.205697856109,6.96557041278,-0.595391916866,2.45652102372,7.61764043393,-0.651128518007,2.68648405919
683,100yd,spin_factor_lift,0.225697856109,7.63909104944,-0.653295551028,2.6745703288,8.35421155888,-0.714452702349,2.92494567892
683,100yd,spin_factor_lift,0.245697856109,8.31196701273,-0.711202780937,2.88911506307,9.09007766047,-0.777780819048,3.1595746534
683,100yd,spin_factor_lift,0.265697856109,8.98420274604,-0.769113889083,3.1001574137,9.82524359803,-0.841113177037,3.39037337457
683,100yd,spin_factor_lift,0.285697856109,9.65580267349,-0.827029156956,3.30769955522,10.5597142099,-0.90445008416,3.6173442205
683,100yd,spin_factor_lift,0.305697856109,10.3267712,-0.884948865046,3.5117436496,11.2934943132,-0.967791847163,3.84048955556
683,100yd,spin_factor_lift,0.325697856109,10.9971127113,-0.942873292837,3.7122918465,12.0265887044,-1.03113877169,4.05981173064
