model,carry_rmse,carry_mape,apex_rmse,apex_mape,lateral_mae,flight_failure_rate
constant_lift,16.5056634601,10.2844006307,3.0693080556,16.2614495926,8.41012001861,0
drag,36.465388785,21.0283591738,7.59140024962,43.8903847474,15.0522213853,0
spin_factor_lift,31.9956336392,18.6480647053,7.88521974476,50.1347105326,10.8317957612,0
vacuum,32.233362461,18.2145560952,7.1959119564,41.8683370248,14.6652064033,0
