model,sensitivity_type,parameter,relative_change,metric,baseline_value,scenario_value,delta,wind_x_mps
constant_lift,solver_tolerance,atol_x10,,flight_time_s,3.8832050826,3.8832050826,4.4408920985e-16,
constant_lift,solver_tolerance,max_step_x2,,carry_yd,134.419121392,134.419121392,5.68434188608e-14,
constant_lift,solver_tolerance,max_step_x2,,apex_yd,13.7924865036,13.7926291656,0.000142661952664,
constant_lift,solver_tolerance,max_step_x2,,lateral_yd,21.1425804386,21.1425804386,3.5527136788e-15,
constant_lift,solver_tolerance,max_step_x2,,flight_time_s,3.8832050826,3.8832050826,1.33226762955e-15,
constant_lift,solver_tolerance,method_RK45,,carry_yd,134.419121392,134.419121392,3.97903932026e-13,
constant_lift,solver_tolerance,method_RK45,,apex_yd,13.7924865036,13.7924865036,4.83169060317e-13,
constant_lift,solver_tolerance,method_RK45,,lateral_yd,21.1425804386,21.1425804386,2.13162820728e-13,
constant_lift,solver_tolerance,method_RK45,,flight_time_s,3.8832050826,3.8832050826,2.35367281221e-14,
constant_lift,initial_height,initial_height_0.001m,,carry_yd,134.419121392,134.400187291,-0.0189341013282,
constant_lift,initial_height,initial_height_0.001m,,apex_yd,13.7924865036,13.7826598778,-0.00982662589635,
constant_lift,initial_height,initial_height_0.001m,,lateral_yd,21.1425804386,21.1400088441,-0.00257159454553,
constant_lift,initial_height,initial_height_0.001m,,flight_time_s,3.8832050826,3.88247088243,-0.000734200171544,
constant_lift,initial_height,initial_height_0.01m,,carry_yd,134.419121392,134.419121392,0,
constant_lift,initial_height,initial_height_0.01m,,apex_yd,13.7924865036,13.7924865036,0,
constant_lift,initial_height,initial_height_0.01m,,lateral_yd,21.1425804386,21.1425804386,0,
constant_lift,initial_height,initial_height_0.01m,,flight_time_s,3.8832050826,3.8832050826,0,
constant_lift,initial_height,initial_height_0.05m,,carry_yd,134.419121392,134.503171334,0.0840499418745,
constant_lift,initial_height,initial_height_0.05m,,apex_yd,13.7924865036,13.8362101595,0.0437236558828,
constant_lift,initial_height,initial_height_0.05m,,lateral_yd,21.1425804386,21.1539994033,0.0114189646824,
constant_lift,initial_height,initial_height_0.05m,,flight_time_s,3.8832050826,3.8864648796,0.00325979699892,
spin_factor_lift,parameter,cd,-0.2,carry_yd,133.061213485,151.907594578,18.8463810928,
spin_factor_lift,parameter,cd,-0.2,apex_yd,25.0353872147,29.3966827284,4.3612955137,
spin_factor_lift,parameter,cd,-0.2,lateral_yd,25.7144210672,32.2093605407,6.49493947351,
spin_factor_lift,parameter,cd,-0.2,flight_time_s,6.23269993136,6.87741752496,0.6447175936,
