ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,target_distance_yd,target_lateral_yd,forward_error_yd,lateral_error_yd,objective_yd,support_knn_distance,support_threshold,support_category,row_type,source,sample_count,candidate_id,rank,seed,parameter_scenario,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,p95_miss_distance_yd,maximum_miss_distance_yd,probability_within_3yd,probability_within_5yd,simulations,launch_direction_sd_deg,supported_fraction,borderline_fraction,out_of_support_fraction,p90_ci_low,p90_ci_high,robustness_statistical_tie,single_surrogate_parameter_scenario,single_surrogate_p90_miss_distance_yd,deprecated_by,legacy_reason,model_member_count,model_combination_rule,simulation_count,worst_model_mean_miss_yd,objective_prediction_std,decision_space_support,full_model_input_support,joint_model_member_count,joint_simulation_count,joint_mean_miss_distance_yd,joint_median_miss_distance_yd,joint_p90_miss_distance_yd,joint_p95_miss_distance_yd,joint_worst_model_mean_miss_yd,joint_probability_within_3yd,joint_probability_within_5yd,joint_objective_prediction_std,joint_parameter_scenario
122.95753008,20.4367367846,0,1000,-10.4081632653,182.842031565,-2.89421659266,28.6276097183,200,0,-17.1579684352,-2.89421659266,17.4003554707,0.959734092085,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-9.18367346939,182.842031565,-1.30931207705,28.6276097183,200,0,-17.1579684352,-1.30931207705,17.2078522465,0.945012895504,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-7.95918367347,182.842031565,-1.28920857549,28.6276097183,200,0,-17.1579684352,-1.28920857549,17.2063342863,0.931615691315,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-6.73469387755,182.842031565,-1.50267832079,28.6271193431,200,0,-17.1579684352,-1.50267832079,17.2236442996,0.920969108006,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-5.51020408163,182.842031565,-1.50267832079,28.711217558,200,0,-17.1579684352,-1.50267832079,17.2236442996,0.913161262879,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-4.28571428571,182.842031565,-0.656419010737,28.711217558,200,0,-17.1579684352,-0.656419010737,17.1705202816,0.907820890453,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-3.0612244898,182.842031565,-0.109160195856,28.8130725904,200,0,-17.1579684352,-0.109160195856,17.158315674,0.897662930681,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-1.83673469388,183.24061909,1.9938530779,28.8130725904,200,0,-16.7593809095,1.9938530779,16.8775679103,0.890495183056,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,-0.612244897959,183.24061909,2.9887252401,28.8130725904,200,0,-16.7593809095,2.9887252401,17.0237870943,0.886365178226,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,0.612244897959,183.592887735,3.95300410828,28.5244587407,200,0,-16.4071122655,3.95300410828,16.8765984242,0.885291473579,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,1.83673469388,183.592887735,5.65481997218,28.4314860087,200,0,-16.4071122655,5.65481997218,17.3542594716,0.887263065308,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,3.0612244898,183.657774429,6.15131442611,28.4314860087,200,0,-16.3422255708,6.15131442611,17.4615865767,0.892240632199,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.95753008,20.4367367846,0,1000,4.28571428571,183.657774429,6.46919312939,28.2618842103,200,0,-16.3422255708,6.46919312939,17.5760859224,0.900159359135,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
