ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,target_distance_yd,target_lateral_yd,forward_error_yd,lateral_error_yd,objective_yd,support_knn_distance,support_threshold,support_category,row_type,source,sample_count,candidate_id,rank,seed,parameter_scenario,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,p95_miss_distance_yd,maximum_miss_distance_yd,probability_within_3yd,probability_within_5yd,simulations,launch_direction_sd_deg,supported_fraction,borderline_fraction,out_of_support_fraction,p90_ci_low,p90_ci_high,robustness_statistical_tie,single_surrogate_parameter_scenario,single_surrogate_p90_miss_distance_yd,deprecated_by,legacy_reason,model_member_count,model_combination_rule,simulation_count,worst_model_mean_miss_yd,objective_prediction_std,decision_space_support,full_model_input_support,joint_model_member_count,joint_simulation_count,joint_mean_miss_distance_yd,joint_median_miss_distance_yd,joint_p90_miss_distance_yd,joint_p95_miss_distance_yd,joint_worst_model_mean_miss_yd,joint_probability_within_3yd,joint_probability_within_5yd,joint_objective_prediction_std,joint_parameter_scenario
80,14.693877551,0,2720.78398552,-1.25452917524,87.4538171176,-1.90283504499,9.40674445428,200,0,-112.546182882,-1.90283504499,112.56226749,0.67478718904,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,15.2040816327,0,2720.78398552,-1.25452917524,88.8970632772,-1.90283504499,9.74593100716,200,0,-111.102936723,-1.90283504499,111.119230242,0.672774711199,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,15.7142857143,0,2720.78398552,-1.25452917524,89.2890955944,-2.02481108251,9.68634420646,200,0,-110.710904406,-2.02481108251,110.729418919,0.658493866152,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,16.2244897959,0,2720.78398552,-1.25452917524,88.7332122742,-2.01916136132,10.7376242855,200,0,-111.266787726,-2.01916136132,111.285107105,0.653041290068,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,16.7346938776,0,2720.78398552,-1.25452917524,89.1905576628,-2.01916136132,10.7295571789,200,0,-110.809442337,-2.01916136132,110.827837314,0.656668851586,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,17.2448979592,0,2720.78398552,-1.25452917524,90.4729280936,-2.01916136132,11.5770274266,200,0,-109.527071906,-2.01916136132,109.54568222,0.668951272,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,17.7551020408,0,2720.78398552,-1.25452917524,91.9255636343,-1.76830905068,11.677252961,200,0,-108.074436366,-1.76830905068,108.088901894,0.669251244902,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,18.2653061224,0,2720.78398552,-1.25452917524,92.0703161001,-1.76830905068,11.8558973702,200,0,-107.9296839,-1.76830905068,107.944168826,0.67492953397,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,18.7755102041,0,2720.78398552,-1.25452917524,92.4192611275,-1.79760270393,12.1557748595,200,0,-107.580738872,-1.79760270393,107.595756198,0.677062845889,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,19.2857142857,0,2720.78398552,-1.25452917524,92.6333608997,-2.07648058053,13.1361702435,200,0,-107.3666391,-2.07648058053,107.386716885,0.681700328883,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,19.7959183673,0,2720.78398552,-1.25452917524,93.2313290858,-2.08187903574,13.5252937272,200,0,-106.768670914,-2.08187903574,106.788966233,0.675936483499,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,20.306122449,0,2720.78398552,-1.25452917524,93.2313290858,-2.01199120532,13.4955708381,200,0,-106.768670914,-2.01199120532,106.787626612,0.662408923859,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,20.8163265306,0,2720.78398552,-1.25452917524,94.9721440263,-1.16778501758,14.2887267688,200,0,-105.027855974,-1.16778501758,105.034347964,0.654732997907,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,21.3265306122,0,2720.78398552,-1.25452917524,96.4247481167,-1.16778501758,14.6488267439,200,0,-103.575251883,-1.16778501758,103.581834916,0.65666485048,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,21.8367346939,0,2720.78398552,-1.25452917524,97.4446607935,-1.16778501758,14.7022914755,200,0,-102.555339207,-1.16778501758,102.561987703,0.668020434368,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,22.3469387755,0,2720.78398552,-1.25452917524,97.6416922331,-0.713808208867,14.7022914755,200,0,-102.358307767,-0.713808208867,102.360796651,0.688382856901,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,22.8571428571,0,2720.78398552,-1.25452917524,97.6416922331,-0.713808208867,14.6690214877,200,0,-102.358307767,-0.713808208867,102.360796651,0.716956513344,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,23.3673469388,0,2720.78398552,-1.25452917524,97.6416922331,-0.713808208867,15.1175556497,200,0,-102.358307767,-0.713808208867,102.360796651,0.734426062555,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,23.8775510204,0,2720.78398552,-1.25452917524,97.6416922331,-0.713808208867,15.1462164878,200,0,-102.358307767,-0.713808208867,102.360796651,0.758599339696,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,24.387755102,0,2720.78398552,-1.25452917524,98.6572077745,-0.708765024317,16.7367534084,200,0,-101.342792226,-0.708765024317,101.345270654,0.788100869621,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,24.8979591837,0,2720.78398552,-1.25452917524,98.6572077745,-1.74321572403,17.4208135145,200,0,-101.342792226,-1.74321572403,101.357783801,0.810103651405,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,25.4081632653,0,2720.78398552,-1.25452917524,98.6572077745,-1.74321572403,17.4208135145,200,0,-101.342792226,-1.74321572403,101.357783801,0.832492531335,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,25.9183673469,0,2720.78398552,-1.25452917524,98.6886122451,-1.74321572403,17.4208135145,200,0,-101.311387755,-1.74321572403,101.326383977,0.856695146102,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,26.4285714286,0,2720.78398552,-1.25452917524,98.6886122451,-1.74321572403,21.926497334,200,0,-101.311387755,-1.74321572403,101.326383977,0.884833009419,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,26.9387755102,0,2720.78398552,-1.25452917524,98.6886122451,-1.74321572403,21.926497334,200,0,-101.311387755,-1.74321572403,101.326383977,0.890627634086,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,27.4489795918,0,2720.78398552,-1.25452917524,98.6886122451,-1.74321572403,21.926497334,200,0,-101.311387755,-1.74321572403,101.326383977,0.886343269397,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,27.9591836735,0,2720.78398552,-1.25452917524,98.6886122451,-1.74321572403,21.926497334,200,0,-101.311387755,-1.74321572403,101.326383977,0.887523084662,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,28.4693877551,0,2720.78398552,-1.25452917524,98.6886122451,-1.74321572403,21.926497334,200,0,-101.311387755,-1.74321572403,101.326383977,0.890173906339,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,28.9795918367,0,2720.78398552,-1.25452917524,98.6886122451,-1.74321572403,21.926497334,200,0,-101.311387755,-1.74321572403,101.326383977,0.894087782943,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,29.4897959184,0,2720.78398552,-1.25452917524,98.6886122451,-1.74321572403,21.926497334,200,0,-101.311387755,-1.74321572403,101.326383977,0.899353457152,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,30,0,2720.78398552,-1.25452917524,98.6886122451,-1.74321572403,21.926497334,200,0,-101.311387755,-1.74321572403,101.326383977,0.910797834111,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,5,0,2720.78398552,-1.25452917524,57.4762139131,-4.48662134214,1.18902934784,200,0,-142.523786087,-4.48662134214,142.594387588,1.06613835112,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,5.51020408163,0,2720.78398552,-1.25452917524,57.6927762242,-3.33054519808,1.76806337956,200,0,-142.307223776,-3.33054519808,142.346192327,1.0430390221,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,6.02040816327,0,2720.78398552,-1.25452917524,57.6927762242,-2.91700293194,1.76806337956,200,0,-142.307223776,-2.91700293194,142.337116891,1.01982435254,1.01189547215,borderline,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,6.5306122449,0,2720.78398552,-1.25452917524,58.6500737343,-2.91572407342,1.76806337956,200,0,-141.349926266,-2.91572407342,141.37999541,0.993831154252,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,7.04081632653,0,2720.78398552,-1.25452917524,67.6182819042,-2.07820137427,3.18411157838,200,0,-132.381718096,-2.07820137427,132.398029468,0.974445809178,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,7.55102040816,0,2720.78398552,-1.25452917524,75.3455549097,-1.64792553235,4.03982451465,200,0,-124.65444509,-1.64792553235,124.665337361,0.954840733105,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,8.0612244898,0,2720.78398552,-1.25452917524,75.3455549097,-1.64792553235,4.2608586189,200,0,-124.65444509,-1.64792553235,124.665337361,0.935190156087,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,8.57142857143,0,2720.78398552,-1.25452917524,77.3251049717,-1.61385845929,4.59984370437,200,0,-122.674895028,-1.61385845929,122.685510185,0.92186306718,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.2244897959,9.08163265306,0,2720.78398552,-1.25452917524,78.3226725396,-1.82044569185,5.22532725865,200,0,-121.67732746,-1.82044569185,121.690944776,0.913840943227,1.01189547215,supported,grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
