ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,target_distance_yd,target_lateral_yd,forward_error_yd,lateral_error_yd,objective_yd,support_knn_distance,support_threshold,support_category,source,sample_count,candidate_id,rank
126.036785657,26.543007618,0,4779.91322804,-1.42575008583,200.102490205,0.0196665264269,37.287374413,200,0,0.102490205254,0.0196665264269,0.104360023163,0.996316977092,1.01189547215,supported,lhs,20000,sampling_003144,1
126.908106519,25.7696067751,0,9570.08052187,-1.90818795667,199.744396656,0.275631010519,38.1546531515,200,0,-0.25560334358,0.275631010519,0.37590626918,2.17638056287,1.01189547215,out_of_support,lhs,20000,sampling_012640,2
136.337672454,8.73176147592,0,9853.59713009,-0.803948750331,200.490254451,0.367555067017,19.7214679455,200,0,0.490254450531,0.367555067017,0.612736610262,2.55629026474,1.01189547215,out_of_support,lhs,20000,sampling_000109,3
132.057659906,8.95964943175,0,7442.33727673,-1.37265252816,200.490254451,-0.425222392746,19.7214679455,200,0,0.490254450531,-0.425222392746,0.64897111612,1.40972160598,1.01189547215,out_of_support,lhs,20000,sampling_011982,4
126.532144852,19.0408922797,0,5681.01386495,-0.964793189388,200.360478676,-0.602197902628,35.4356212019,200,0,0.360478675791,-0.602197902628,0.701845559671,0.797907304514,1.01189547215,supported,lhs,20000,sampling_018327,5
127.486432192,13.3070308157,0,4624.9350097,1.44566572989,199.564508168,0.602593653413,24.1426469128,200,0,-0.435491832021,0.602593653413,0.743486547888,0.489941104118,1.01189547215,supported,lhs,20000,sampling_003447,6
124.78129604,15.0759444269,0,2197.14015816,-0.493866458205,200.829448259,-0.335659073046,22.8812203527,200,0,0.829448258612,-0.335659073046,0.89479127568,0.574747411815,1.01189547215,supported,lhs,20000,sampling_000238,7
130.452095042,10.388818656,0,3646.86251044,0.602346934745,199.795102084,-1.01490536469,17.5621975723,200,0,-0.204897915525,-1.01490536469,1.03538208168,0.43848245496,1.01189547215,supported,lhs,20000,sampling_007286,8
125.524328373,24.0529228339,0,4931.72767522,-2.18868025987,199.045791752,0.539039622414,37.5752152875,200,0,-0.954208247857,0.539039622414,1.09593662901,0.845726141714,1.01189547215,supported,lhs,20000,sampling_014536,9
122.727657166,18.4693607826,0,3160.33803069,0.245460704619,199.844419668,1.31209522946,31.9362972259,200,0,-0.155580332107,1.31209522946,1.32128692225,0.526535137171,1.01189547215,supported,lhs,20000,sampling_009453,10
123.622150935,14.6624384698,0,2587.57661135,1.18417039794,198.759492255,0.872271683773,20.6721309602,200,0,-1.24050774536,0.872271683773,1.51648190118,0.467285219992,1.01189547215,supported,lhs,20000,sampling_010965,11
139.64435975,9.37656584399,0,9760.75524337,-0.00667772859171,201.311627367,0.91531110179,19.5353030498,200,0,1.31162736703,0.91531110179,1.59942513517,2.54176210578,1.01189547215,out_of_support,lhs,20000,sampling_000143,12
138.934095589,9.30578626506,0,9661.02626819,-0.0543557546034,201.311627367,0.921781411407,19.5379202746,200,0,1.31162736703,0.921781411407,1.60313671294,2.48674552267,1.01189547215,out_of_support,lhs,20000,sampling_008017,13
122.886143703,19.4162468974,0,3262.52280216,-1.53936441916,198.517342466,-0.93579118445,33.9130009467,200,0,-1.48265753372,-0.93579118445,1.75327650506,0.588767955853,1.01189547215,supported,lhs,20000,sampling_014462,14
128.554439027,14.9365414577,0,4761.74902461,-0.806943104968,201.72924502,-0.383422415881,28.4269516404,200,0,1.72924502008,-0.383422415881,1.77124280901,0.508096717212,1.01189547215,supported,lhs,20000,sampling_015270,15
125.388442149,20.4417105405,0,4791.77754392,-0.55459937106,198.45397353,1.23037830801,35.6225426311,200,0,-1.54602646993,1.23037830801,1.97586148972,0.735586361102,1.01189547215,supported,lhs,20000,sampling_013632,16
