candidate_id,nominal_rank,objective_yd,support_category,selection_method,cluster_id,selected_for_robustness,ball_speed_mph,launch_angle_deg,spin_rate_rpm,spin_axis_deg,launch_direction_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,support_knn_distance,support_threshold,source,rank,seed
local_2028_02341,441,0.410235232405,supported,all_supported_near_optimal,-1,True,130.699252566,11.3107528721,6515.889746,-0.0763793862563,0,200.230829079,0.339132543716,23.8867366022,0.972827445935,1.01189547215,local_refinement,459,2028
local_2026_00157,442,0.411124433508,supported,all_supported_near_optimal,-1,True,119.547776836,19.7088102589,2635.27000385,-0.390672180562,0,200.390376238,-0.128956164916,28.8347466513,0.642230867749,1.01189547215,local_refinement,460,2026
local_2026_02008,443,0.411786597789,supported,all_supported_near_optimal,-1,True,119.80577411,19.6251361218,2685.11847651,-0.863687220999,0,200.369779732,-0.181193685636,32.1457615227,0.635013724385,1.01189547215,local_refinement,461,2026
local_2029_00474,444,0.415031759383,supported,all_supported_near_optimal,-1,True,126.120093022,22.3454324946,4524.41525173,-1.16391998874,0,200.411594088,0.0533072965565,36.1481962012,0.8080218956,1.01189547215,local_refinement,462,2029
local_2029_03896,445,0.415031759383,supported,all_supported_near_optimal,-1,True,126.14087415,22.8273111369,4493.70265853,-1.28966815326,0,200.411594088,0.0533072965565,36.5084047219,0.81995096658,1.01189547215,local_refinement,463,2029
local_2029_04088,446,0.415031759383,supported,all_supported_near_optimal,-1,True,126.401532966,22.5111312924,4514.8041538,-1.46136342058,0,200.411594088,0.0533072965565,36.5084047219,0.821529972349,1.01189547215,local_refinement,464,2029
local_2027_03736,447,0.415031759383,supported,all_supported_near_optimal,-1,True,126.445814361,22.5467369445,4507.65277767,-1.47863500905,0,200.411594088,0.0533072965565,36.5084047219,0.823233270142,1.01189547215,local_refinement,465,2027
local_2029_00257,448,0.415031759383,supported,all_supported_near_optimal,-1,True,126.42608256,22.8598785979,4507.16014073,-1.36137059247,0,200.411594088,0.0533072965565,36.5084047219,0.830922333954,1.01189547215,local_refinement,466,2029
local_2027_00112,449,0.416555891207,supported,all_supported_near_optimal,-1,True,126.132764546,22.0649099404,4487.71881906,-1.7240782678,0,200.411594088,-0.0641023951857,36.5084047219,0.793837035475,1.01189547215,local_refinement,467,2027
local_2029_01669,450,0.416555891207,supported,all_supported_near_optimal,-1,True,126.188912488,22.020045002,4506.92007629,-1.97033738724,0,200.411594088,-0.0641023951857,36.5084047219,0.797754659998,1.01189547215,local_refinement,468,2029
local_2029_00114,451,0.416555891207,supported,all_supported_near_optimal,-1,True,126.005348889,22.1169895966,4527.69480125,-1.54188677597,0,200.411594088,-0.0641023951857,36.5084047219,0.79846977844,1.01189547215,local_refinement,469,2029
local_2027_03333,452,0.416555891207,supported,all_supported_near_optimal,-1,True,126.558876203,22.1619006399,4495.13078973,-2.01701307286,0,200.411594088,-0.0641023951857,36.5084047219,0.809670448626,1.01189547215,local_refinement,470,2027
local_2029_03960,453,0.416555891207,supported,all_supported_near_optimal,-1,True,126.268249384,22.4165737214,4495.27146326,-1.99382819334,0,200.411594088,-0.0641023951857,36.5084047219,0.81344616967,1.01189547215,local_refinement,471,2029
local_2027_01987,454,0.416555891207,supported,all_supported_near_optimal,-1,True,126.513075308,22.2143228862,4524.10099886,-1.77234803107,0,200.411594088,-0.0641023951857,36.5084047219,0.814120855873,1.01189547215,local_refinement,472,2027
local_2027_04605,455,0.416555891207,supported,all_supported_near_optimal,-1,True,126.324258873,22.4271534296,4522.36352127,-2.20477484845,0,200.411594088,-0.0641023951857,36.5084047219,0.820554544004,1.01189547215,local_refinement,473,2027
