candidate_id,parameter_scenario,model_member,model_member_count,model_combination_rule,simulation_count,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,p95_miss_distance_yd,worst_model_mean_miss_yd,probability_within_3yd,probability_within_5yd,objective_prediction_std
local_2026_04544,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.73733611774,3.8957382237,5.56884601687,6.09467702997,3.73733611774,0.35,0.7715,0
local_2026_04663,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.91581654787,3.96766782034,5.69770110473,6.27409309006,3.91581654787,0.3175,0.722,0
local_2026_00907,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.42651261043,3.47848296286,4.89913965832,5.25313453467,3.42651261043,0.305,0.9225,0
local_2030_01374,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,4.26938658253,3.98698148036,6.09644321341,7.81605947285,4.26938658253,0.252,0.7785,0
local_2026_03460,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,4.51605645851,3.8876133603,7.81151367781,8.48850361796,4.51605645851,0.059,0.8105,0
local_2030_02556,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.88073515039,3.74141694316,5.92054355243,6.49558490129,3.88073515039,0.3095,0.8325,0
local_2026_00862,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.43857223663,3.55762081034,5.12185262045,5.60338510558,3.43857223663,0.3645,0.8705,0
local_2026_02841,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,4.66698704758,3.98695969071,8.01086022771,8.78911055797,4.66698704758,0.0565,0.784,0
local_2026_03562,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.45168962324,4.31317869212,8.8746738463,10.1802719833,5.45168962324,0.0245,0.633,0
local_2026_01065,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.98327689895,3.98148859012,5.39246045248,6.17631252293,3.98327689895,0.2205,0.8065,0
local_2026_03980,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,4.61498779316,3.95673104277,8.02109703394,8.89974122045,4.61498779316,0.058,0.7835,0
local_2026_00650,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.19116384853,4.20593604755,8.6403509488,9.81561133598,5.19116384853,0.032,0.6765,0
local_2026_01930,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.14092983264,4.11667537099,8.47365601982,9.54257280077,5.14092983264,0.0285,0.677,0
local_2030_01840,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,4.52478676693,4.27717466477,6.63556002976,8.41549038525,4.52478676693,0.278,0.649,0
local_2030_03806,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,4.39302957244,4.22877618352,6.35190264529,7.13125602932,4.39302957244,0.244,0.6915,0
local_2030_00135,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,4.53678638929,4.35979450657,6.44465399495,7.45945175401,4.53678638929,0.221,0.6455,0
local_2030_04792,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,4.44518097592,4.2706239678,6.38635025913,7.09943390721,4.44518097592,0.227,0.677,0
local_2030_04104,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,4.18856663536,4.10292555295,6.19315344247,6.76625635225,4.18856663536,0.2895,0.718,0
local_2026_03344,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.84936103852,3.93532765808,5.69278748184,6.26045670778,3.84936103852,0.334,0.732,0
local_2026_02045,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,4.41822230838,4.02207321263,7.41162770463,8.82188599909,4.41822230838,0.1115,0.78,0
local_2026_02304,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,4.30263399044,3.79519634611,7.57670498503,8.23652698024,4.30263399044,0.0815,0.8495,0
local_2026_03392,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,4.90712521702,4.05957857216,8.27811667414,9.09953515651,4.90712521702,0.0355,0.735,0
local_2026_04482,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.22268417496,4.22048623129,8.61409905781,9.50750590759,5.22268417496,0.027,0.678,0
local_2026_03204,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,4.90622544277,4.10293043912,8.22774336121,9.19159787336,4.90622544277,0.0395,0.735,0
local_2026_01146,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,4.20758075536,3.98812339769,5.64032474135,8.162359126,4.20758075536,0.1475,0.8085,0
local_2026_01632,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.5129152514,3.67289533073,5.27234434497,5.68069234684,3.5129152514,0.389,0.8255,0
local_2026_04695,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.74029654684,3.89922868288,5.60299708034,6.05255353482,3.74029654684,0.352,0.7615,0
sampling_003144,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.45563984389,5.5123272349,11.1784427433,11.4050976374,5.45563984389,0.332,0.376,0
local_2026_04597,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.2876025012,3.18187742992,5.27908343715,5.48846899545,3.2876025012,0.4685,0.8345,0
local_2026_03680,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.46478005103,3.35851378435,5.37607520337,5.75819136209,3.46478005103,0.4215,0.796,0
local_2026_01213,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.06495179622,2.96805964125,5.1276417022,5.30257443386,3.06495179622,0.5085,0.887,0
local_2026_02954,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.06886555035,2.96981024966,5.12342347494,5.30257443386,3.06886555035,0.506,0.8875,0
local_2026_03459,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,7.92755349804,8.27180046066,11.5138583668,11.9914273534,7.92755349804,0.0025,0.2585,0
local_2026_02359,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,8.42766216157,8.85859023125,11.840056843,12.4485129128,8.42766216157,0.001,0.21,0
local_2026_03773,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,4.43710920051,3.88561826323,7.64229009127,8.40916603472,4.43710920051,0.0695,0.8185,0
local_2026_02569,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,2.93534283274,2.91674728869,4.80591582356,5.20358302775,2.93534283274,0.522,0.9205,0
local_2026_02685,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.18097993399,3.04102825481,5.23831730434,5.46134635415,3.18097993399,0.494,0.8525,0
local_2026_03484,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.04544215186,2.90201715489,5.11055680331,5.30268004983,3.04544215186,0.52,0.8855,0
local_2026_03781,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.81329828658,3.9041561458,5.16143855829,5.88479777254,3.81329828658,0.229,0.8605,0
local_2026_03193,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,3.18315196865,3.14852057085,5.20353046973,5.35577500947,3.18315196865,0.4845,0.8625,0
local_2026_02050,ideal,1,1,paired_5_carry_5_lateral_by_member_index,2000,5.53226117448,4.37181703754,9.01102723588,10.1967000439,5.53226117448,0.024,0.615,0
