candidate_id,parameter_scenario,model_member_count,model_combination_rule,simulation_count,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,p95_miss_distance_yd,worst_model_mean_miss_yd,probability_within_3yd,probability_within_5yd,objective_prediction_std,support_category,objective_yd,support_knn_distance,decision_space_support,full_model_input_support,out_of_support_fraction
local_2030_03038,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.96103268862,5.72009733146,9.63341333238,10.8993162293,8.05468711355,0.1495,0.3805,1.52565831864,supported,0.310496011628,0.442636641446,supported,supported,0
local_2030_03911,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.95746824551,5.71085920084,9.68898276948,10.9389336118,8.13667191034,0.1521,0.3881,1.57829955272,supported,0.310496011628,0.443333124983,supported,supported,0
local_2030_04380,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.93289603181,5.66934045788,9.63889785101,11.0122387375,8.27154483869,0.1521,0.3937,1.63626284786,supported,0.310496011628,0.451019266089,supported,supported,0
local_2028_00910,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.48196051802,6.2105820755,10.4781948193,12.1375846654,8.25234668278,0.1569,0.3645,1.36535967493,supported,0.311496218218,0.911631600397,supported,supported,0
local_2027_00420,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.88808154624,5.85259869369,12.6568748765,14.3697675233,7.86526091369,0.1287,0.4025,1.04564381553,supported,0.312407093713,0.819547537471,supported,supported,0
local_2027_03976,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.86479400669,5.83499082151,12.5827541981,14.2354821824,7.85354070555,0.1292,0.398,1.04398012492,supported,0.312407093713,0.825243961252,supported,supported,0
local_2027_02962,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,7.36386209539,6.31834435221,13.3377343885,14.9629568607,8.50327146304,0.1103,0.3582,1.1904014724,supported,0.312407093713,0.825313115361,supported,supported,0
local_2029_04189,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,7.43581672173,6.39281204078,13.391871213,14.9111185254,8.59763278568,0.1112,0.3523,1.25834362648,supported,0.312407093713,0.83434196636,supported,supported,0
local_2028_04876,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.82558752374,6.59215869177,11.2433217405,12.5100940121,9.1125686273,0.1319,0.3222,1.36451341555,supported,0.317423773006,0.906820487516,supported,supported,0
local_2026_04586,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,8.7673752471,8.62581392901,13.6344996812,14.2499230751,12.7038843327,0.0457,0.2061,3.32109636199,supported,0.32223554364,0.615191890308,supported,supported,0
