seed,success,scipy_success,objective_finite,accepted,message,objective_yd,ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,predicted_carry_yd,predicted_lateral_yd,support_category,support_knn_distance,iterations,function_evaluations,candidate_id,local_refinement_samples,best_refined_objective_yd,best_refined_candidate_id
2026,True,True,True,True,Optimization terminated successfully.,0.0101144143951,121.112598931,19.6161542956,0,2627.70810176,-0.365694255678,199.992290142,-0.00654671446218,supported,0.633695938788,161,162,de_seed_2026,5000,0.0109161893508,local_2026_01546
2027,True,True,True,True,Optimization terminated successfully.,0.0305047735652,126.300623541,21.8999499437,0,4786.36498158,-1.47947533902,199.982499513,-0.0249854787981,supported,0.825673782538,117,118,de_seed_2027,5000,0.127415498821,local_2027_01916
2028,True,True,True,True,Optimization terminated successfully.,0.0198291676486,130.797096495,11.5259085339,0,6516.84953779,-0.397986947552,199.985686424,0.0137228798186,supported,0.975297292406,151,152,de_seed_2028,5000,0.0572294570894,local_2028_02220
2029,True,True,True,True,Optimization terminated successfully.,0.0305047735652,126.126844668,21.9229851225,0,4784.92035686,-1.10663561043,199.982499513,-0.0249854787981,supported,0.818696056228,85,86,de_seed_2029,5000,0.127415498821,local_2029_04837
2030,True,True,True,True,Optimization terminated successfully.,0.0121900697354,128.413374806,12.5928397819,0,4046.28656882,0.357995731247,200.011308601,0.00455119158032,supported,0.437814513161,207,208,de_seed_2030,5000,0.0121900697354,local_2030_01110
