record_id,ball_speed_mph,launch_angle_deg,spin_rate_rpm,spin_axis_deg,loo_knn_distance,support_threshold,support_category
105,98.0449,24.81,7150.0898,4.86,0.449323996563,1.01189547215,supported
106,97.8436,13.52,3597.8301,-6.69,0.646155261742,1.01189547215,supported
107,119.9669,12.93,3654.3501,5.83,0.343940253092,1.01189547215,supported
108,122.2262,13.07,3225.95,0.69,0.352236970866,1.01189547215,supported
110,119.5642,10.07,2561.4299,-30.7,0.509947726662,1.01189547215,supported
111,111.1086,12.83,2867.6799,-40.34,0.684700166209,1.01189547215,supported
113,112.2495,3.46,2452.8701,-25.88,0.764067430357,1.01189547215,supported
117,122.7407,11.55,3509.4399,-22.44,0.629861939803,1.01189547215,supported
118,120.3919,11.88,2832.77,-69.45,0.949291317353,1.01189547215,supported
120,127.0356,6.29,3647.3101,-39.32,0.821505349676,1.01189547215,supported
121,123.9934,8.84,2966.48,-34.36,0.620503856219,1.01189547215,supported
123,103.4583,16.09,2460.8701,-9.45,0.54892771833,1.01189547215,supported
124,127.5277,12.28,3220.8601,-5.53,0.428970118867,1.01189547215,supported
126,122.1815,12.86,1647.13,-13.19,0.55976890845,1.01189547215,supported
128,122.1591,2.52,2010.1801,-15.06,0.758270351986,1.01189547215,supported
129,110.5718,11.62,1880.61,-49.56,0.463979629241,1.01189547215,supported
130,112.3837,8.46,1385.11,-59.48,0.391950691324,1.01189547215,supported
131,125.2684,2.35,2532.1499,-20.25,0.656970155424,1.01189547215,supported
132,115.1127,9.23,883.53,-37.62,0.548391643883,1.01189547215,supported
133,110.1915,22.93,4131.1899,-27.48,1.01085849904,1.01189547215,supported
134,119.0274,9.27,1101.67,-41.02,0.517517482938,1.01189547215,supported
136,102.5635,24.35,5503.25,-19.18,0.789917488984,1.01189547215,supported
137,76.0558,38.2,4166.54,-14.54,1.28842649674,1.01189547215,borderline
138,118.0655,6.95,1850.78,-45.49,0.54478891453,1.01189547215,supported
139,116.2983,15.26,2538.1499,-53.18,0.679327035865,1.01189547215,supported
140,79.9481,25.75,4793.3398,-0.08,0.626962325972,1.01189547215,supported
141,91.692,24.94,4739,-13.55,0.578596415504,1.01189547215,supported
143,84.4443,31.58,3284.8401,6.64,0.998026224653,1.01189547215,supported
146,92.4749,27.57,4567.6401,3.19,0.575665489186,1.01189547215,supported
150,87.3524,15.53,2093.3,-51.47,0.692644260125,1.01189547215,supported
151,112.7863,15.27,4142.5298,-16.85,0.521443403835,1.01189547215,supported
153,117.0589,14.88,4868.1401,-17.81,0.560070169649,1.01189547215,supported
155,104.1741,13.72,2678.29,-3.8,0.614780426754,1.01189547215,supported
157,89.634,24.44,4457.2998,25.58,0.760714294546,1.01189547215,supported
158,97.262,24.39,5794.79,23.48,0.706922215171,1.01189547215,supported
159,87.4195,21.85,2933.6899,11.15,0.523917874691,1.01189547215,supported
162,106.5005,14.54,4092.29,2.37,0.356416194087,1.01189547215,supported
163,95.4053,17.38,3430.96,18.28,0.386705508852,1.01189547215,supported
164,116.7233,17.48,5533.0498,16.67,0.550915388625,1.01189547215,supported
167,91.3117,19.38,7915.2402,-12.95,0.848553591978,1.01189547215,supported
168,93.3474,14.15,1894.63,-61.39,0.693422336373,1.01189547215,supported
169,118.7366,13.94,3163.95,9.08,0.370003680932,1.01189547215,supported
170,98.9844,17.59,754.69,-5.19,0.744659832146,1.01189547215,supported
171,107.1716,4.74,1812.39,13.12,0.451163798876,1.01189547215,supported
172,112.0481,6.81,1602.88,-5.16,0.637259958465,1.01189547215,supported
173,116.7457,8.57,923.05,-55.52,0.584587468031,1.01189547215,supported
176,120.8169,11.27,3112.3401,15.44,0.440563100067,1.01189547215,supported
177,117.8194,11.81,2167.5601,16.14,0.498595027032,1.01189547215,supported
179,119.7879,7.03,1482.77,-5.07,0.584529142103,1.01189547215,supported
180,111.1086,2.68,2274.0801,10.54,0.294796882203,1.01189547215,supported
181,120.7051,8.51,2949.6001,18.38,0.601429920684,1.01189547215,supported
182,115.3364,15.98,4167.5698,20.29,0.403310178097,1.01189547215,supported
183,115.672,13.07,1410.15,-51.55,0.561760900441,1.01189547215,supported
184,111.1086,14.74,3525.6201,6.39,0.403730686438,1.01189547215,supported
186,94.4882,7.83,4570.8101,-3.42,0.835875986175,1.01189547215,supported
187,115.2246,12.16,3079.77,-4.55,0.514152708824,1.01189547215,supported
189,96.7922,10.7,1770.58,-7.91,0.788390835911,1.01189547215,supported
190,105.0018,13.84,4663.54,20.84,0.482937691952,1.01189547215,supported
191,107.4848,14.49,3135.78,18.61,0.509956606817,1.01189547215,supported
192,85.6747,12.77,3461.9099,8.09,0.777241714736,1.01189547215,supported
194,102.049,16.13,7125.6699,1.8,0.736976623631,1.01189547215,supported
196,102.832,21.18,7481.1802,12.7,0.45969898371,1.01189547215,supported
197,109.6994,19.05,5571.4302,-5.77,0.470746520203,1.01189547215,supported
199,103.6149,16.31,6297.5601,9,0.499842094992,1.01189547215,supported
200,104.9347,21.1,6522.77,-7.36,0.702330103142,1.01189547215,supported
202,93.9737,21.51,9036.6104,14.42,0.93499942333,1.01189547215,supported
203,103.1675,22.69,7922.4199,6.45,0.554072261919,1.01189547215,supported
205,92.3407,15.27,2590.8401,-35.35,0.672811665771,1.01189547215,supported
207,107.4848,15.3,5565.3799,6.22,0.374613047679,1.01189547215,supported
209,83.2364,16.45,1701.16,6.63,0.641366265805,1.01189547215,supported
210,108.3348,13.13,4813.9902,-7.01,0.444446289812,1.01189547215,supported
211,95.9869,18.88,3642.3899,17.01,0.33689395907,1.01189547215,supported
214,108.044,16.79,5699.3701,9.17,0.365728183931,1.01189547215,supported
215,106.7019,16.03,3680.6299,3.39,0.382875001084,1.01189547215,supported
216,115.493,12.08,3005.02,24.09,0.49712479471,1.01189547215,supported
217,112.2047,12.65,4037.8,14.18,0.403981444203,1.01189547215,supported
218,111.3099,13.59,2914.48,3.94,0.43151937935,1.01189547215,supported
220,104.4649,14.41,2263.55,16.63,0.404333146244,1.01189547215,supported
222,116.0746,13.22,4815.6099,14.98,0.510492029729,1.01189547215,supported
224,112.9876,2.72,2332.3101,10.83,0.336347788863,1.01189547215,supported
225,111.5113,14.16,4852.6299,30.52,0.326481785229,1.01189547215,supported
227,114.7772,10.62,2139.76,4.54,0.508450992816,1.01189547215,supported
229,120.9288,9.03,5503.4902,22.27,0.609613128343,1.01189547215,supported
230,108.7151,14.52,4122.1499,36.05,0.540943741914,1.01189547215,supported
231,114.9338,13.95,4814.9199,27.53,0.380910843436,1.01189547215,supported
232,98.5594,8.67,6081.3101,11.41,1.08338177674,1.01189547215,borderline
234,121.1077,11.17,3729.6799,14.96,0.479767370775,1.01189547215,supported
235,110.6836,3.28,2273.75,15.83,0.317939491906,1.01189547215,supported
236,109.0954,3.33,1136.62,-40.23,0.988194071988,1.01189547215,supported
238,121.6222,12.46,2605.9299,7.33,0.456621385212,1.01189547215,supported
239,119.6761,10.08,1295.73,7.28,0.420961923866,1.01189547215,supported
240,132.1582,6.64,2041.59,-17.6,0.67536295543,1.01189547215,supported
241,124.4184,7.52,1138.5699,-13.31,0.74727132852,1.01189547215,supported
242,114.4193,17.39,4052.28,16.27,0.404147928481,1.01189547215,supported
245,113.5916,20.45,3707.0801,-5.41,0.621550962187,1.01189547215,supported
246,113.0995,15.95,1686.5,-31.95,0.538086163111,1.01189547215,supported
247,118.9379,13.54,1268.91,-19.21,0.60764488891,1.01189547215,supported
249,122.5394,10.56,1722.48,4.19,0.29887748669,1.01189547215,supported
250,123.0986,9.02,4251.02,16.38,0.441179313824,1.01189547215,supported
251,112.2047,5.1,2377.8,21.21,0.457265994543,1.01189547215,supported
253,103.7267,22.02,3510.3201,10.69,0.577275450387,1.01189547215,supported
255,111.6231,2.62,1916.4,10.09,0.321037412218,1.01189547215,supported
257,120.6603,10.16,1590.1899,6.29,0.325495325079,1.01189547215,supported
258,99.4318,15.79,1667.91,19.19,0.402985488098,1.01189547215,supported
260,121.0182,7.82,2125.1299,8.47,0.55941973096,1.01189547215,supported
262,93.6829,35.25,4893.4199,-7.96,0.982781271064,1.01189547215,supported
263,88.9182,27.39,5407.04,-10.48,0.492662474959,1.01189547215,supported
265,75.8769,20.18,3508.8101,28.67,1.01382127938,1.01189547215,borderline
266,100.9306,19.49,6092.75,15.53,0.472545655739,1.01189547215,supported
267,94.7342,18.95,6608.0098,25.43,0.485004364205,1.01189547215,supported
268,88.9182,20.4,3241.3799,5.25,0.517650260115,1.01189547215,supported
270,108.7598,17.14,4948.21,4.67,0.360532332944,1.01189547215,supported
271,108.7151,12.46,4354.6699,-2.52,0.398586402026,1.01189547215,supported
272,88.1353,11.94,4336.7202,-1.84,0.71037847602,1.01189547215,supported
273,91.6696,12.56,1623.27,-26.26,0.796689545425,1.01189547215,supported
274,107.9993,12.58,5274.98,21.34,0.437147680852,1.01189547215,supported
275,113.7706,14.06,4256.1099,6.02,0.424734313122,1.01189547215,supported
276,100.1476,8.21,2056.3501,-45.66,0.904913815644,1.01189547215,supported
277,80.9995,10.54,1681.9301,-73.42,1.08753017044,1.01189547215,borderline
278,112.4955,8.3,1810.48,-60.68,0.424158468537,1.01189547215,supported
283,100.2819,16.74,1728.5699,56.2,1.10690955646,1.01189547215,borderline
285,97.262,19.65,3240.5601,17.47,0.384913080026,1.01189547215,supported
286,95.8304,21.01,3090.3301,5.52,0.546202679602,1.01189547215,supported
287,114.3746,11.55,5212.0298,21.24,0.473520580055,1.01189547215,supported
288,99.8568,13.57,558.24,37.23,0.913522490859,1.01189547215,supported
289,96.658,16.37,1079.37,81.1,1.73073199615,1.01189547215,borderline
290,95.8527,15.15,1130.74,24.37,0.513229548297,1.01189547215,supported
292,96.9265,4.41,1267.98,48.05,1.12431388462,1.01189547215,borderline
293,115.068,9.13,2622.8101,-16.52,0.606924110357,1.01189547215,supported
294,104.711,16.16,2499.6799,8.6,0.562471167273,1.01189547215,supported
295,113.5245,10.3,1564.88,-42.12,0.476728667493,1.01189547215,supported
296,111.8468,10.5,2765.9399,2.51,0.54361220441,1.01189547215,supported
297,95.4053,3.94,1850.85,32.69,0.876008530693,1.01189547215,supported
298,74.2663,17.11,1963.74,41.9,1.41471292779,1.01189547215,borderline
299,102.228,13.55,6539.9199,33.34,0.926346074629,1.01189547215,supported
300,100.7516,16.78,1918.86,28.25,0.472953611956,1.01189547215,supported
302,111.4665,13.55,5215.04,21.79,0.40081618803,1.01189547215,supported
303,83.8404,8.69,5052.79,8.58,0.92930038211,1.01189547215,supported
304,85.1154,11.31,10611.6904,-17.65,2.05851850718,1.01189547215,borderline
305,110.9744,7.82,4603.71,23.02,0.754205311567,1.01189547215,supported
306,112.764,13.06,3853.1799,24.68,0.424637881032,1.01189547215,supported
307,107.5519,14.24,2677.03,23.46,0.429084763718,1.01189547215,supported
308,107.7085,9.18,3375.5901,25.21,0.601248288875,1.01189547215,supported
309,113.9943,11.06,3879.51,22.02,0.427769228292,1.01189547215,supported
310,93.5934,19.81,5880.3999,19.95,0.404297436078,1.01189547215,supported
311,104.0175,16.03,4267.3301,1.25,0.319649640799,1.01189547215,supported
312,83.6167,20.56,5415.0298,22.61,0.790532614871,1.01189547215,supported
314,105.8295,19.51,4007.1499,11.4,0.364813662915,1.01189547215,supported
315,111.0192,16.66,5411.8901,2.03,0.373414825855,1.01189547215,supported
316,89.4327,18.87,3604.48,-9.35,0.491310716526,1.01189547215,supported
317,104.3754,15.77,4120.5801,-0.55,0.329265341598,1.01189547215,supported
319,111.1534,17.79,3939.72,-2.85,0.447272762259,1.01189547215,supported
320,95.9422,18.36,3572.6499,17,0.327526833537,1.01189547215,supported
