record_id,ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,loo_knn_distance,support_threshold,support_category
94,104.3754,4.54,-2.92,1811.49,-8.35,0.941513600172,1.40896007673,supported
95,95.0698,23.47,0.73,5985.8799,-5.34,0.620548243398,1.40896007673,supported
96,90.8643,22.86,-1.52,4847.6602,-20.61,0.744656564177,1.40896007673,supported
97,82.6995,14.18,0.06,3984.52,-0.59,1.10535091703,1.40896007673,supported
98,80.9547,22.33,3.19,3740.46,6.96,0.876777381999,1.40896007673,supported
99,90.6407,21.09,1.05,6571.54,2.9,0.654022763531,1.40896007673,supported
100,91.1999,21.22,-1.35,5709.6299,-9.88,0.653606376562,1.40896007673,supported
103,99.0292,23.41,5.95,7428.8501,6.99,0.65275014888,1.40896007673,supported
105,98.0449,24.81,4.73,7150.0898,4.86,0.653621039791,1.40896007673,supported
106,97.8436,13.52,-3.45,3597.8301,-6.69,0.732063143359,1.40896007673,supported
107,119.9669,12.93,1.85,3654.3501,5.83,0.504407600945,1.40896007673,supported
108,122.2262,13.07,1.05,3225.95,0.69,0.486686178435,1.40896007673,supported
110,119.5642,10.07,-1.79,2561.4299,-30.7,0.719580369958,1.40896007673,supported
111,111.1086,12.83,-3.45,2867.6799,-40.34,0.822323373228,1.40896007673,supported
113,112.2495,3.46,-3.96,2452.8701,-25.88,0.956902655211,1.40896007673,supported
117,122.7407,11.55,2.76,3509.4399,-22.44,0.744574981261,1.40896007673,supported
118,120.3919,11.88,2.29,2832.77,-69.45,1.14922010805,1.40896007673,supported
120,127.0356,6.29,-0.18,3647.3101,-39.32,0.894218949537,1.40896007673,supported
121,123.9934,8.84,-1.25,2966.48,-34.36,0.688371590302,1.40896007673,supported
123,103.4583,16.09,12.08,2460.8701,-9.45,1.22440518334,1.40896007673,supported
124,127.5277,12.28,2.44,3220.8601,-5.53,0.652278990668,1.40896007673,supported
126,122.1815,12.86,3.18,1647.13,-13.19,0.760191044975,1.40896007673,supported
128,122.1591,2.52,-6.18,2010.1801,-15.06,0.933305653814,1.40896007673,supported
129,110.5718,11.62,10.11,1880.61,-49.56,1.27606501902,1.40896007673,supported
130,112.3837,8.46,-2.67,1385.11,-59.48,0.65479505181,1.40896007673,supported
131,125.2684,2.35,-2.23,2532.1499,-20.25,0.946547793321,1.40896007673,supported
