x,carry_distance_yd,feature,feature_label
110.5718,122.0144,ball_speed_mph,Ball speed
112.3837,89.9606,ball_speed_mph,Ball speed
125.2684,95.8771,ball_speed_mph,Ball speed
115.1127,105.129,ball_speed_mph,Ball speed
110.1915,169.6522,ball_speed_mph,Ball speed
119.0274,115.4965,ball_speed_mph,Ball speed
100.7964,151.8045,ball_speed_mph,Ball speed
102.5635,150.514,ball_speed_mph,Ball speed
76.0558,97.43,ball_speed_mph,Ball speed
118.0655,99.9891,ball_speed_mph,Ball speed
116.2983,151.3123,ball_speed_mph,Ball speed
79.9481,105.6758,ball_speed_mph,Ball speed
91.692,130.3806,ball_speed_mph,Ball speed
81.2903,110.0066,ball_speed_mph,Ball speed
84.4443,120.1225,ball_speed_mph,Ball speed
77.7559,102.7778,ball_speed_mph,Ball speed
76.3019,99.0814,ball_speed_mph,Ball speed
92.4749,133.8692,ball_speed_mph,Ball speed
89.4103,119.6194,ball_speed_mph,Ball speed
86.5694,100.2625,ball_speed_mph,Ball speed
96.3896,122.5722,ball_speed_mph,Ball speed
87.3524,90.7262,ball_speed_mph,Ball speed
112.7863,167.64,ball_speed_mph,Ball speed
113.7706,170.5709,ball_speed_mph,Ball speed
117.0589,175.3609,ball_speed_mph,Ball speed
89.4775,120.6037,ball_speed_mph,Ball speed
104.1741,141.6776,ball_speed_mph,Ball speed
91.088,129.8119,ball_speed_mph,Ball speed
89.634,124.0048,ball_speed_mph,Ball speed
97.262,137.839,ball_speed_mph,Ball speed
87.4195,120.5709,ball_speed_mph,Ball speed
93.4816,111.9641,ball_speed_mph,Ball speed
86.8826,99.6172,ball_speed_mph,Ball speed
106.5005,152.9746,ball_speed_mph,Ball speed
95.4053,129.7353,ball_speed_mph,Ball speed
116.7233,177.1654,ball_speed_mph,Ball speed
83.818,39.1404,ball_speed_mph,Ball speed
103.8833,138.8561,ball_speed_mph,Ball speed
91.3117,120.5818,ball_speed_mph,Ball speed
93.3474,92.2244,ball_speed_mph,Ball speed
118.7366,182.3819,ball_speed_mph,Ball speed
98.9844,128.259,ball_speed_mph,Ball speed
107.1716,73.5674,ball_speed_mph,Ball speed
112.0481,101.5092,ball_speed_mph,Ball speed
116.7457,95.8443,ball_speed_mph,Ball speed
98.5594,132.3272,ball_speed_mph,Ball speed
116.1641,131.157,ball_speed_mph,Ball speed
120.8169,174.3876,ball_speed_mph,Ball speed
117.8194,162.6969,ball_speed_mph,Ball speed
107.3282,156.9882,ball_speed_mph,Ball speed
119.7879,117.1697,ball_speed_mph,Ball speed
111.1086,62.5547,ball_speed_mph,Ball speed
120.7051,154.8119,ball_speed_mph,Ball speed
115.3364,174.4204,ball_speed_mph,Ball speed
115.672,135.8377,ball_speed_mph,Ball speed
111.1086,165.1903,ball_speed_mph,Ball speed
97.1949,119.8928,ball_speed_mph,Ball speed
94.4882,96.8723,ball_speed_mph,Ball speed
115.2246,166.5901,ball_speed_mph,Ball speed
104.0175,136.5376,ball_speed_mph,Ball speed
96.7922,100.7437,ball_speed_mph,Ball speed
105.0018,143.0993,ball_speed_mph,Ball speed
107.4848,151.7498,ball_speed_mph,Ball speed
85.6747,93.4602,ball_speed_mph,Ball speed
108.6256,116.7979,ball_speed_mph,Ball speed
102.049,142.2135,ball_speed_mph,Ball speed
99.7897,130.129,ball_speed_mph,Ball speed
102.832,146.3801,ball_speed_mph,Ball speed
109.6994,166.1308,ball_speed_mph,Ball speed
106.7466,156.4523,ball_speed_mph,Ball speed
103.6149,146.413,ball_speed_mph,Ball speed
104.9347,154.1667,ball_speed_mph,Ball speed
101.2661,141.7213,ball_speed_mph,Ball speed
93.9737,126.192,ball_speed_mph,Ball speed
103.1675,146.3145,ball_speed_mph,Ball speed
86.5694,117.5416,ball_speed_mph,Ball speed
92.3407,111.4064,ball_speed_mph,Ball speed
101.9148,133.2349,ball_speed_mph,Ball speed
107.4848,155.6868,ball_speed_mph,Ball speed
98.0002,133.4864,ball_speed_mph,Ball speed
