feature,marginal_rank_median,marginal_rank_ci_low,marginal_rank_ci_high,marginal_rank_interval,marginal_top3_frequency,marginal_top5_frequency,stability_scope,iterations,feature_label,marginal_rank
ball_speed_mph,1,1,1,1-1,1,1,marginal_correlation_bootstrap,1000,Ball speed,1
club_speed_mph,2,2,2,2-2,1,1,marginal_correlation_bootstrap,1000,Club speed,2
attack_angle_deg,3,3,5,3-5,0.835,0.978,marginal_correlation_bootstrap,1000,Attack angle,3
sidespin_rpm,5,3,7,3-7,0.066,0.842,marginal_correlation_bootstrap,1000,Sidespin,4
spin_axis_deg,5,3,8,3-8,0.076,0.762,marginal_correlation_bootstrap,1000,Spin axis,5
backspin_rpm,6,4,9,4-9,0.017,0.221,marginal_correlation_bootstrap,1000,Backspin,6
launch_angle_deg,7,4,9,4-9,0.005,0.133,marginal_correlation_bootstrap,1000,Launch angle,7
launch_direction_deg,8,5,9,5-9,0.001,0.043,marginal_correlation_bootstrap,1000,Launch direction,8
spin_rate_rpm,8,6,9,6-9,0,0.021,marginal_correlation_bootstrap,1000,Spin rate,9
